year,month,BNFCode,BNFName,TotalItems,TotalCost
2013,2013-08-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,124,6619.020000000001
2018,2018-06-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,965,4923.636010000004
2011,2011-03-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,12,1078.57
2017,2017-02-01,0208020X0BBACAC,Pradaxa_Cap 150mg,285,14436.4362
2012,2012-12-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,98,6054.570000000005
2012,2012-02-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,325,21477.94999999999
2012,2012-11-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,29,3842.6099999999997
2018,2018-12-01,0208020Z0AAABAB,Apixaban_Tab 5mg,281261,13658240.659079976
2014,2014-10-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,359803,579375.4099999999
2013,2013-11-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,126955,174166.37000000017
2012,2012-02-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,928,712.2800000000005
2018,2018-02-01,0208020X0BBACAC,Pradaxa_Cap 150mg,265,14314.235659999998
2014,2014-06-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,81268,133728.67000000004
2013,2013-06-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,118759,163634.0099999999
2011,2011-05-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,4,146.62
2012,2012-03-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,301351,439038.4099999999
2012,2012-11-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,2077,100185.43999999997
2016,2016-07-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,317,14650.009999999998
2012,2012-10-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,69031,127761.82999999987
2011,2011-02-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,607,41173.69999999998
2012,2012-06-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,45,2607.3799999999983
2016,2016-06-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,48349,1756065.5999999994
2011,2011-04-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,51,6493.920000000001
2018,2018-01-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg,75599,2842165.0998400114
2012,2012-09-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,24,2747.71
2013,2013-12-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,10957,572091.8500000003
2010,2010-09-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,2775,1665.4000000000008
2017,2017-10-01,0208020N0AAAAAA,Phenindione_Tab 10mg,28,55339.059839999994
2017,2017-12-01,0208020Y0BBAAAA,Xarelto_Tab 10mg,23,1134.97793
2013,2013-09-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1415,6936.160000000001
2015,2015-12-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg                       ,4,163.36
2013,2013-04-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,123817,170765.91999999993
2011,2011-03-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,338845,690941.1900000001
2013,2013-05-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,60,3296.8200000000006
2018,2018-05-01,0208020Z0AAABAB,Apixaban_Tab 5mg,235473,11352656.08152997
2011,2011-02-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,641,471.57000000000005
2014,2014-02-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1325,6309.240000000002
2015,2015-12-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,3480,179243.8700000001
2013,2013-01-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1457,6783.190000000003
2014,2014-04-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,11,1644.78
2014,2014-12-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,242,16682.999999999996
2017,2017-10-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,300,11476.50071
2018,2018-06-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,267,10523.263510000002
2017,2017-02-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,173941,8220426.3883699905
2017,2017-03-01,0208020AAAAAAAA,Edoxaban_Tab 15mg,27,997.60321
2018,2018-02-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,208870,10067154.147199975
2014,2014-10-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,159,101.67999999999999
2015,2015-10-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,4,1594.3200000000002
2011,2011-03-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,1932,1180.34
2015,2015-11-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,35335,1496757.8600000003
2018,2018-10-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg,8,264.49316
2011,2011-02-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,244106,385299.35000000003
2015,2015-09-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,80747,167917.13000000006
2017,2017-11-01,0208020N0AAABAB,Phenindione_Tab 25mg,33,60986.17095
2018,2018-03-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,4,473.87379
2015,2015-06-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,80096,166314.59999999983
2012,2012-01-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,138,7461.350000000004
2014,2014-09-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,11,1440.0500000000002
2014,2014-11-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,246,14993.91000000001
2016,2016-09-01,0208020AAAAABAB,Edoxaban_Tab 30mg                       ,547,24587.57
2013,2013-12-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,6896,287243.34
2014,2014-09-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,83,3720.8199999999997
2015,2015-08-01,0208020AABBABAB,Lixiana_Tab 30mg                        ,1,217.44
2017,2017-08-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,213290,10198341.739469972
2014,2014-02-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,311,255.54000000000005
2018,2018-09-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,889,4478.78793999999
2012,2012-11-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,383235,565818.1800000002
2015,2015-01-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,2,735.0
2015,2015-10-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,28,1111.96
2016,2016-01-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,56,46.88
2018,2018-04-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,322,35633.66995999997
2016,2016-11-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,55923,2056306.3599999999
2015,2015-11-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,243,16342.269999999995
2015,2015-05-01,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,80,3707.310000000001
2017,2017-06-01,0208020Y0BBAAAA,Xarelto_Tab 10mg,27,1344.68028
2018,2018-08-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,6364,312033.69672000105
2014,2014-12-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,275,15634.209999999995
2015,2015-06-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,12852,835850.0499999998
2015,2015-09-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,410378,821622.5000000005
2016,2016-04-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,148408,6930018.730000003
2014,2014-08-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,1907,96039.92
2014,2014-04-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,4105,230600.7
2016,2016-01-01,0208020X0BBACAC,Pradaxa_Cap 150mg                       ,244,16446.499999999985
2012,2012-05-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,257,202.6800000000001
2017,2017-10-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,295,33257.947000000015
2017,2017-07-01,0208020AAAAABAB,Edoxaban_Tab 30mg,3127,127762.78844000038
2018,2018-01-01,0208020Y0BBACAC,Xarelto_Tab 20mg,679,31068.845120000035
2011,2011-07-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1264,6558.829999999996
2013,2013-11-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,1599,90093.21000000002
2011,2011-09-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,88,6783.490000000001
2017,2017-04-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,3434,150021.5326300001
2016,2016-10-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,3571,155166.2400000002
2017,2017-02-01,0208020AAAAACAC,Edoxaban_Tab 60mg,1899,96450.51099000005
2018,2018-03-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,2,3314.36242
2016,2016-10-01,0208020AABBABAB,Lixiana_Tab 30mg                        ,6,144.4
2017,2017-02-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,261,28152.81786999999
2014,2014-12-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,12180,790523.6099999999
2015,2015-12-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,328,37885.5
2016,2016-03-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,2,143.99
2016,2016-08-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,2,1046.86
2018,2018-06-01,0208020AAAAABAB,Edoxaban_Tab 30mg,10790,432761.54461999924
2017,2017-05-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1316,6732.042280000007
2018,2018-02-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,55559,99070.14152000041
2017,2017-06-01,0208020Z0AAABAB,Apixaban_Tab 5mg,158278,7596460.515810002
2018,2018-02-01,0208020AAAAABAB,Edoxaban_Tab 30mg,6905,270778.15974000073
2017,2017-09-01,0208020Y0BBACAC,Xarelto_Tab 20mg,630,29160.473730000005
2011,2011-08-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,340,273.0700000000001
2012,2012-06-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,268,60094.47999999999
2015,2015-04-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,125,80.76
2017,2017-01-01,0208020AABBABAB,Lixiana_Tab 30mg,7,315.51381
2014,2014-06-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,233,12194.999999999989
2016,2016-06-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,387,16137.630000000001
2016,2016-11-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,45,36.81
2015,2015-12-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,33,39494.97
2018,2018-06-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg,245106,145103.34273999953
2018,2018-10-01,0208020X0BBABAB,Pradaxa_Cap 110mg,375,16292.858409999993
2016,2016-05-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1209,5858.409999999998
2013,2013-07-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,207,156.15999999999997
2010,2010-10-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,305813,612610.0
2017,2017-01-01,0208020N0AAABAB,Phenindione_Tab 25mg,33,63748.63405999999
2015,2015-11-01,0208020Y0BBACAC,Xarelto_Tab 20mg                        ,509,28000.77999999998
2018,2018-06-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,391,18287.021600000007
2017,2017-12-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml,6,583.63098
2018,2018-09-01,0208020N0AAABAB,Phenindione_Tab 25mg,36,66911.63931
2015,2015-09-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,1,191.87
2015,2015-01-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,20073,851063.0999999999
2019,2019-01-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,271455,334624.57662999973
2017,2017-05-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg,3836,160367.68562999953
2015,2015-10-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,128,5701.400000000004
2016,2016-07-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,15,3016.83
2013,2013-05-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1743,8881.579999999998
2016,2016-08-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,39,35.300000000000004
2017,2017-04-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,1087,5386.100429999999
2014,2014-01-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,5,1431.6699999999998
2018,2018-04-01,0208020V0BBACAD,Marevan_Tab 5mg,18,19.40167
2014,2014-11-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,132,81.65999999999998
2012,2012-12-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,43,11162.819999999996
2015,2015-09-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,18,1911.96
2018,2018-09-01,0208020AABBABAB,Lixiana_Tab 30mg,35,1634.59625
2016,2016-01-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,3,1669.61
2014,2014-04-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,243,152.20000000000005
2011,2011-09-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,580,401.66999999999996
2013,2013-05-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,3,170.28
2017,2017-03-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg,203173,9690848.521860002
2011,2011-01-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,965,5152.689999999995
2014,2014-11-01,0208020Y0AAACAC,Rivaroxaban_Tab 20mg                    ,52475,2707559.8000000007
2011,2011-05-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,3,384.56999999999994
2017,2017-12-01,0208020V0BBACAD,Marevan_Tab 5mg,22,19.8388
2015,2015-08-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,250,28260.119999999966
2017,2017-08-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg,466,20651.704529999988
2016,2016-01-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,273,29614.799999999956
2014,2014-03-01,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,67,2770.379999999999
2015,2015-07-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,79,82808.59000000001
2017,2017-03-01,0208020AAAAACAC,Edoxaban_Tab 60mg,2568,126843.88464000006
2017,2017-04-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,279,31065.138530000007
2018,2018-03-01,0208020X0BBABAB,Pradaxa_Cap 110mg,371,15997.411080000009
2015,2015-10-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1355,6634.149999999996
2016,2016-03-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,78740,163701.07000000007
2013,2013-02-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,96,22691.959999999995
2014,2014-01-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,1933,87681.21000000005
2015,2015-03-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,592,31218.590000000022
2012,2012-05-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,178,8189.990000000001
2012,2012-09-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg                   ,1668,8266.95
2018,2018-03-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg,128715,5223641.632760006
2018,2018-06-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg,57158,91345.46296999947
2015,2015-03-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,416093,866947.7199999997
2013,2013-05-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,7818,401636.87999999983
2014,2014-06-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,9137,582065.2899999996
2012,2012-02-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,107560,150306.54999999996
2013,2013-04-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,2538,104661.86999999994
2013,2013-06-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,478,378.2700000000002
2012,2012-09-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,64071,142429.46999999988
2018,2018-12-01,0208020N0AAAAAA,Phenindione_Tab 10mg,23,38375.15563
2018,2018-10-01,0208020Y0BBACAC,Xarelto_Tab 20mg,676,31091.464680000005
2014,2014-03-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,176,110.19999999999997
2015,2015-10-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,8,1639.1199999999994
2018,2018-05-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1150,5867.350660000006
2012,2012-04-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,370,240.36999999999998
2018,2018-03-01,0208020Y0BBAAAA,Xarelto_Tab 10mg,20,943.02627
2018,2018-06-01,0208020X0BBACAC,Pradaxa_Cap 150mg,301,15182.242650000002
2011,2011-06-01,0208020Y0AAAAAA,Rivaroxaban_Tab 10mg                    ,124,9269.620000000006
2012,2012-05-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg          ,885,52569.14000000004
2017,2017-03-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,273,11222.426440000001
2011,2011-10-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,5,304.22
2017,2017-08-01,0208020V0BBAAAA,Marevan_Tab 1mg,62,60.63091000000001
2017,2017-09-01,0208020AAAAACAC,Edoxaban_Tab 60mg,5846,276527.1293899998
2014,2014-01-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,270,179.36
2016,2016-08-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,8,716.33
2019,2019-02-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,265,9430.64211
2016,2016-02-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,373189,649307.72
2013,2013-06-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,269,13438.929999999995
2011,2011-01-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,298851,609642.8499999999
2016,2016-01-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,55,116978.06
2013,2013-09-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,383210,719252.87
2015,2015-11-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,61,42.81000000000001
2016,2016-10-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,53283,1947944.6100000034
2011,2011-02-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,39,3391.880000000001
2011,2011-11-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,4,381.1
2014,2014-10-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,275,30425.380000000034
2011,2011-03-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,42,3285.5600000000004
2011,2011-12-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,119545,145504.01999999996
2018,2018-12-01,0208020X0BBACAC,Pradaxa_Cap 150mg,298,15618.733380000005
2014,2014-06-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,331685,459031.22
2015,2015-08-01,0208020N0AAAAAA,Phenindione_Tab 10mg                    ,86,85578.65999999997
2013,2013-05-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,567,605.6099999999999
2019,2019-02-01,0208020Y0BBADAD,Xarelto_Tab 2.5mg,6,72.44958
2018,2018-02-01,0208020Y0BBAAAA,Xarelto_Tab 10mg,26,1230.78369
2016,2016-02-01,0208020X0BBAAAA,Pradaxa_Cap 75mg                        ,28,718.0000000000001
2014,2014-02-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,232,13188.730000000012
2017,2017-03-01,0208020Y0BBACAC,Xarelto_Tab 20mg,708,32359.49343000001
2011,2011-08-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,9,2042.7699999999998
2016,2016-03-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,348,14292.04
2014,2014-08-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,66,25236.77
2018,2018-04-01,0208020H0AAAAAA,Acenocoumarol_Tab 1mg,1089,5718.904950000001
2015,2015-03-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1433,6849.540000000004
2013,2013-07-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml           ,8,1272.77
2017,2017-02-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg,273099,315781.90024000005
2018,2018-08-01,0208020Y0AAAEAE,Rivaroxaban_Init Tt/Pack (Tab 15mg/20mg),35,3031.7334100000003
2014,2014-05-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,457,24999.29999999999
2012,2012-06-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,65,6266.369999999998
2014,2014-01-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,349,294.71
2015,2015-11-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,17028,906367.4599999993
2016,2016-09-01,0208020Y0BBAAAA,Xarelto_Tab 10mg                        ,24,1068.0400000000002
2014,2014-01-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,2527,143432.00999999995
2018,2018-11-01,0208020Z0BBABAB,Eliquis_Tab 5mg,575,26810.86503000001
2015,2015-06-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,293,16693.82999999999
2014,2014-08-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,126148,172172.44999999992
2017,2017-01-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg,350477,515135.46962999995
2017,2017-07-01,0208020H0BBAAAA,Sinthrome_Tab 1mg,1063,5255.076890000003
2017,2017-01-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,36,1023.9078699999999
2011,2011-10-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,194,10405.280000000004
2016,2016-08-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,37,54960.58
2012,2012-01-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,342,266.41
2017,2017-05-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg,64692,2403949.132220001
2014,2014-06-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,12468,647118.5299999999
2014,2014-07-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F      ,244,25068.759999999962
2012,2012-01-01,0208020V0AAARAR,Warfarin Sod_Liq Spec 1.5mg/5ml         ,1,83.06
2015,2015-07-01,0208020V0BBAAAA,Marevan_Tab 1mg                         ,162,133.28
2014,2014-10-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,38,9709.809999999998
2018,2018-08-01,0208020V0AABBBB,Warfarin Sod_Oral Susp 1mg/1ml S/F,312,34923.56714000003
2016,2016-12-01,0208020AABBACAC,Lixiana_Tab 60mg                        ,24,937.0
2018,2018-04-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg,369,16583.34790999999
2015,2015-11-01,0208020V0AAASAS,Warfarin Sod_Tab 500mcg                 ,77173,175013.0500000002
2012,2012-09-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,196,155.41
2016,2016-06-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,22,10.42
2015,2015-11-01,0208020N0AAABAB,Phenindione_Tab 25mg                    ,46,66761.31
2014,2014-09-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,414219,738076.9599999998
2013,2013-09-01,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,10,604.73
2017,2017-10-01,0208020AABBABAB,Lixiana_Tab 30mg,13,589.7334699999999
2014,2014-11-01,0208020V0AAABAB,Warfarin Sod_Tab 3mg                    ,326065,522894.7200000004
2011,2011-03-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg                    ,110804,171839.62000000008
2013,2013-03-01,0208020X0AAAAAA,Dabigatran Etexilate_Cap 75mg           ,293,14583.720000000003
2013,2013-03-01,0208020Y0BBABAB,Xarelto_Tab 15mg                        ,17,938.0600000000001
2013,2013-05-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,218,166.97
2015,2015-04-01,0208020V0AAAVAV,Warfarin Sod_Liq Spec 10mg/5ml          ,1,150.85
2011,2011-06-01,0208020X0BBABAB,Pradaxa_Cap 110mg                       ,3,429.63
2017,2017-06-01,0208020V0AAADAD,Warfarin Sod_Tab 5mg,113271,123684.8330000001
2017,2017-01-01,0208020Y0BBACAC,Xarelto_Tab 20mg,601,27424.714449999992
2017,2017-03-01,0208020X0AAACAC,Dabigatran Etexilate_Cap 150mg,17494,877348.2089899988
2016,2016-11-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg                   ,306,11936.32
2018,2018-05-01,0208020Y0BBAEAE,Xarelto_Initiation Tt/Pack(Tab15mg/20mg),10,900.59214
2014,2014-08-01,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,5754,262721.31999999983
2016,2016-06-01,0208020N0AAACAC,Phenindione_Tab 50mg                    ,1,96.0
2013,2013-04-01,0208020V0BBACAD,Marevan_Tab 5mg                         ,198,152.32999999999998
2011,2011-12-01,0208020X0AAABAB,Dabigatran Etexilate_Cap 110mg          ,413,21804.20000000001
2017,2017-05-01,0208020Y0BBABAB,Xarelto_Tab 15mg,150,5624.397420000001
2016,2016-09-01,0208020V0AAAAAA,Warfarin Sod_Tab 1mg                    ,377713,581650.79
2012,2012-12-01,0208020V0BBAFAS,Marevan_Tab 500mcg                      ,261,164.69
2012,2012-12-01,0208020V0AAAIAI,Warfarin Sod_Liq Spec 5mg/5ml           ,19,2365.1
2015,2015-02-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,3,1188.88
2017,2017-07-01,0208020Y0AAADAD,Rivaroxaban_Tab 2.5mg,418,18762.66199999999
2017,2017-06-01,0208020X0BBAAAA,Pradaxa_Cap 75mg,19,838.71073
2014,2014-07-01,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,84,4537.5
2018,2018-01-01,0208020V0AAANAN,Warfarin Sod_Liq Spec 1mg/5ml,4,4041.3377
2012,2012-12-01,0208020H0BBAAAA,Sinthrome_Tab 1mg                       ,1509,7123.270000000005
2015,2015-02-01,0208020V0BBABAB,Marevan_Tab 3mg                         ,125,79.93
2013,2013-10-01,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,5705,235935.7399999998
2016,2016-10-01,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,98346,4743202.780000013
2014,2014-09-01,0208020V0AAAMAM,Warfarin Sod_Liq Spec 3mg/5ml           ,4,677.61
