,year,BNFCode,BNFName,TotalItems,TotalCost
302,2016,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,687617,28348440.870000005
303,2012,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,29,1702.7099999999998
304,2014,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,64761,2946373.2499999995
305,2015,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,272439,12559168.050000016
306,2013,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,6444,305289.98999999993
307,2017,0208020Z0AAABAB,Apixaban_Tab 5mg,1887379,90801918.44312012
308,2018,0208020Z0AAABAB,Apixaban_Tab 5mg,837778,40272281.36948999
309,2015,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,385181,21441713.57000001
310,2013,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,7516,429664.98
311,2012,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,1,10.24
312,2014,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,86091,4862297.069999999
313,2016,0208020Z0AAABAB,Apixaban_Tab 5mg                        ,989748,49140358.729999974
314,2018,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,1054,40992.013200000016
315,2017,0208020Z0BBAAAA,Eliquis_Tab 2.5mg,3283,132527.05151000002
316,2011,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,1,94.86
317,2014,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,683,31324.08
318,2013,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,65,3796.5
319,2012,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,3,173.94
320,2016,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,2751,117012.4399999999
321,2015,0208020Z0BBAAAA,Eliquis_Tab 2.5mg                       ,1648,76458.44999999998
322,2018,0208020Z0BBABAB,Eliquis_Tab 5mg,2039,94781.60576000002
323,2017,0208020Z0BBABAB,Eliquis_Tab 5mg,5413,254522.37489999997
324,2015,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,2453,136101.96999999994
325,2016,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,4069,199170.1999999998
326,2013,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,124,5325.270000000001
327,2014,0208020Z0BBABAB,Eliquis_Tab 5mg                         ,964,51212.63999999998
